$ Deuteron energy spectrum for PHITS source
$ Converted from: spectrum_lower.csv
$ Energy range: 0.4598 - 7.9798 MeV
$ Number of bins: 383
$
$ Format: e-type=22 (user-defined histogram)
$ ne = number of bins
$ followed by: E_low  E_high  relative_intensity
$
    ne = 383
    6.543545e-01  6.566388e-01  1.419819e+00
    6.566388e-01  6.589232e-01  1.398057e+00
    6.589232e-01  6.612450e-01  1.369829e+00
    6.612450e-01  6.636004e-01  1.357330e+00
    6.636004e-01  6.659558e-01  1.360388e+00
    6.659558e-01  6.683112e-01  1.368757e+00
    6.683112e-01  6.706871e-01  1.355476e+00
    6.706871e-01  6.731147e-01  1.332353e+00
    6.731147e-01  6.755422e-01  1.326163e+00
    6.755422e-01  6.779698e-01  1.327929e+00
    6.779698e-01  6.804094e-01  1.309252e+00
    6.804094e-01  6.829102e-01  1.282661e+00
    6.829102e-01  6.854111e-01  1.279934e+00
    6.854111e-01  6.879119e-01  1.286122e+00
    6.879119e-01  6.904250e-01  1.272696e+00
    6.904250e-01  6.930002e-01  1.254478e+00
    6.930002e-01  6.955754e-01  1.260161e+00
    6.955754e-01  6.981506e-01  1.263551e+00
    6.981506e-01  7.007470e-01  1.256370e+00
    7.007470e-01  7.033977e-01  1.257231e+00
    7.033977e-01  7.060483e-01  1.259328e+00
    7.060483e-01  7.086989e-01  1.238466e+00
    7.086989e-01  7.113885e-01  1.198189e+00
    7.113885e-01  7.141157e-01  1.155936e+00
    7.141157e-01  7.168428e-01  1.131906e+00
    7.168428e-01  7.195700e-01  1.114990e+00
    7.195700e-01  7.223625e-01  1.096647e+00
    7.223625e-01  7.251672e-01  1.086859e+00
    7.251672e-01  7.279720e-01  1.079204e+00
    7.279720e-01  7.307985e-01  1.063861e+00
    7.307985e-01  7.336820e-01  1.042607e+00
    7.336820e-01  7.365654e-01  1.033965e+00
    7.365654e-01  7.394489e-01  1.022181e+00
    7.394489e-01  7.423968e-01  1.006616e+00
    7.423968e-01  7.453601e-01  9.996890e-01
    7.453601e-01  7.483233e-01  9.885755e-01
    7.483233e-01  7.513216e-01  9.741046e-01
    7.513216e-01  7.543657e-01  9.663673e-01
    7.543657e-01  7.574098e-01  9.650214e-01
    7.574098e-01  7.604661e-01  9.538833e-01
    7.604661e-01  7.635922e-01  9.370231e-01
    7.635922e-01  7.667182e-01  9.196560e-01
    7.667182e-01  7.698442e-01  8.906212e-01
    7.698442e-01  7.730492e-01  8.713909e-01
    7.730492e-01  7.762583e-01  8.708898e-01
    7.762583e-01  7.794673e-01  8.639885e-01
    7.794673e-01  7.827466e-01  8.506617e-01
    7.827466e-01  7.860398e-01  8.459690e-01
    7.860398e-01  7.893330e-01  8.347792e-01
    7.893330e-01  7.926941e-01  8.216297e-01
    7.926941e-01  7.960725e-01  8.237081e-01
    7.960725e-01  7.994509e-01  8.171969e-01
    7.994509e-01  8.029016e-01  8.019579e-01
    8.029016e-01  8.063663e-01  7.953637e-01
    8.063663e-01  8.098310e-01  7.834688e-01
    8.098310e-01  8.133788e-01  7.686028e-01
    8.133788e-01  8.169309e-01  7.611432e-01
    8.169309e-01  8.204950e-01  7.443417e-01
    8.204950e-01  8.241355e-01  7.290354e-01
    8.241355e-01  8.277761e-01  7.244720e-01
    8.277761e-01  8.314515e-01  7.182943e-01
    8.314515e-01  8.351816e-01  7.110986e-01
    8.351816e-01  8.389116e-01  6.988271e-01
    8.389116e-01  8.427059e-01  6.845437e-01
    8.427059e-01  8.465267e-01  6.725332e-01
    8.465267e-01  8.503557e-01  6.590902e-01
    8.503557e-01  8.542682e-01  6.506127e-01
    8.542682e-01  8.581806e-01  6.463975e-01
    8.581806e-01  8.621427e-01  6.404219e-01
    8.621427e-01  8.661480e-01  6.357233e-01
    8.661480e-01  8.701569e-01  6.251569e-01
    8.701569e-01  8.742560e-01  6.158480e-01
    8.742560e-01  8.783552e-01  6.124319e-01
    8.783552e-01  8.825112e-01  6.102361e-01
    8.825112e-01  8.867053e-01  6.110145e-01
    8.867053e-01  8.909201e-01  6.039087e-01
    8.909201e-01  8.952103e-01  5.957913e-01
    8.952103e-01  8.995005e-01  5.937826e-01
    8.995005e-01  9.038765e-01  5.906418e-01
    9.038765e-01  9.082639e-01  5.835739e-01
    9.082639e-01  9.127106e-01  5.726860e-01
    9.127106e-01  9.171962e-01  5.635407e-01
    9.171962e-01  9.217190e-01  5.588411e-01
    9.217190e-01  9.263039e-01  5.586121e-01
    9.263039e-01  9.309083e-01  5.633797e-01
    9.309083e-01  9.355936e-01  5.570918e-01
    9.355936e-01  9.402850e-01  5.437499e-01
    9.402850e-01  9.450718e-01  5.422574e-01
    9.450718e-01  9.498586e-01  5.415781e-01
    9.498586e-01  9.547450e-01  5.383159e-01
    9.547450e-01  9.596344e-01  5.306023e-01
    9.596344e-01  9.646197e-01  5.191656e-01
    9.646197e-01  9.696128e-01  5.111294e-01
    9.696128e-01  9.747025e-01  5.103301e-01
    9.747025e-01  9.798003e-01  5.052704e-01
    9.798003e-01  9.849998e-01  4.941689e-01
    9.849998e-01  9.902076e-01  4.806735e-01
    9.902076e-01  9.955182e-01  4.666678e-01
    9.955182e-01  1.000846e+00  4.657611e-01
    1.000846e+00  1.006264e+00  4.715453e-01
    1.006264e+00  1.011717e+00  4.700951e-01
    1.011717e+00  1.017244e+00  4.627520e-01
    1.017244e+00  1.022827e+00  4.558655e-01
    1.022827e+00  1.028465e+00  4.453983e-01
    1.028465e+00  1.034184e+00  4.408679e-01
    1.034184e+00  1.039933e+00  4.432894e-01
    1.039933e+00  1.045793e+00  4.416167e-01
    1.045793e+00  1.051687e+00  4.361731e-01
    1.051687e+00  1.057662e+00  4.282008e-01
    1.057662e+00  1.063706e+00  4.185626e-01
    1.063706e+00  1.069796e+00  4.099781e-01
    1.069796e+00  1.075997e+00  4.078100e-01
    1.075997e+00  1.082244e+00  4.074614e-01
    1.082244e+00  1.088565e+00  4.056012e-01
    1.088565e+00  1.094978e+00  4.057162e-01
    1.094978e+00  1.101444e+00  4.014767e-01
    1.101444e+00  1.108002e+00  3.943549e-01
    1.108002e+00  1.114644e+00  3.886873e-01
    1.114644e+00  1.121346e+00  3.845565e-01
    1.121346e+00  1.128146e+00  3.812785e-01
    1.128146e+00  1.135034e+00  3.794468e-01
    1.135034e+00  1.141990e+00  3.796102e-01
    1.141990e+00  1.149035e+00  3.775126e-01
    1.149035e+00  1.156187e+00  3.740537e-01
    1.156187e+00  1.163415e+00  3.723484e-01
    1.163415e+00  1.170722e+00  3.685832e-01
    1.170722e+00  1.178143e+00  3.620414e-01
    1.178143e+00  1.185659e+00  3.542746e-01
    1.185659e+00  1.193262e+00  3.462079e-01
    1.193262e+00  1.200955e+00  3.413291e-01
    1.200955e+00  1.208762e+00  3.354576e-01
    1.208762e+00  1.216679e+00  3.281033e-01
    1.216679e+00  1.224693e+00  3.217606e-01
    1.224693e+00  1.232808e+00  3.150533e-01
    1.232808e+00  1.241027e+00  3.110941e-01
    1.241027e+00  1.249364e+00  3.100840e-01
    1.249364e+00  1.257825e+00  3.052068e-01
    1.257825e+00  1.266398e+00  2.976040e-01
    1.266398e+00  1.275086e+00  2.934398e-01
    1.275086e+00  1.283892e+00  2.902218e-01
    1.283892e+00  1.292819e+00  2.843103e-01
    1.292819e+00  1.301871e+00  2.780325e-01
