$ Deuteron energy spectrum for PHITS source
$ Converted from: spectrum_upper.csv
$ Energy range: 0.4598 - 7.9798 MeV
$ Number of bins: 383
$
$ Format: e-type=22 (user-defined histogram)
$ ne = number of bins
$ followed by: E_low  E_high  relative_intensity
$
    ne = 383
    6.543545e-01  6.566388e-01  1.233898e+00
    6.566388e-01  6.589232e-01  1.227758e+00
    6.589232e-01  6.612450e-01  1.214674e+00
    6.612450e-01  6.636004e-01  1.207995e+00
    6.636004e-01  6.659558e-01  1.206563e+00
    6.659558e-01  6.683112e-01  1.203593e+00
    6.683112e-01  6.706871e-01  1.186356e+00
    6.706871e-01  6.731147e-01  1.172908e+00
    6.731147e-01  6.755422e-01  1.173820e+00
    6.755422e-01  6.779698e-01  1.172638e+00
    6.779698e-01  6.804094e-01  1.153826e+00
    6.804094e-01  6.829102e-01  1.136538e+00
    6.829102e-01  6.854111e-01  1.141911e+00
    6.854111e-01  6.879119e-01  1.153407e+00
    6.879119e-01  6.904250e-01  1.150676e+00
    6.904250e-01  6.930002e-01  1.147241e+00
    6.930002e-01  6.955754e-01  1.164855e+00
    6.955754e-01  6.981506e-01  1.186182e+00
    6.981506e-01  7.007470e-01  1.194781e+00
    7.007470e-01  7.033977e-01  1.200696e+00
    7.033977e-01  7.060483e-01  1.210892e+00
    7.060483e-01  7.086989e-01  1.202557e+00
    7.086989e-01  7.113885e-01  1.166772e+00
    7.113885e-01  7.141157e-01  1.127733e+00
    7.141157e-01  7.168428e-01  1.110537e+00
    7.168428e-01  7.195700e-01  1.097290e+00
    7.195700e-01  7.223625e-01  1.084675e+00
    7.223625e-01  7.251672e-01  1.081432e+00
    7.251672e-01  7.279720e-01  1.077086e+00
    7.279720e-01  7.307985e-01  1.065766e+00
    7.307985e-01  7.336820e-01  1.056539e+00
    7.336820e-01  7.365654e-01  1.060672e+00
    7.365654e-01  7.394489e-01  1.054788e+00
    7.394489e-01  7.423968e-01  1.038918e+00
    7.423968e-01  7.453601e-01  1.030039e+00
    7.453601e-01  7.483233e-01  1.022620e+00
    7.483233e-01  7.513216e-01  1.013341e+00
    7.513216e-01  7.543657e-01  1.007825e+00
    7.543657e-01  7.574098e-01  1.006366e+00
    7.574098e-01  7.604661e-01  9.954969e-01
    7.604661e-01  7.635922e-01  9.919614e-01
    7.635922e-01  7.667182e-01  9.976525e-01
    7.667182e-01  7.698442e-01  9.821115e-01
    7.698442e-01  7.730492e-01  9.697652e-01
    7.730492e-01  7.762583e-01  9.702053e-01
    7.762583e-01  7.794673e-01  9.580870e-01
    7.794673e-01  7.827466e-01  9.451727e-01
    7.827466e-01  7.860398e-01  9.461200e-01
    7.860398e-01  7.893330e-01  9.368933e-01
    7.893330e-01  7.926941e-01  9.169365e-01
    7.926941e-01  7.960725e-01  9.099887e-01
    7.960725e-01  7.994509e-01  8.973468e-01
    7.994509e-01  8.029016e-01  8.830863e-01
    8.029016e-01  8.063663e-01  8.791681e-01
    8.063663e-01  8.098310e-01  8.660597e-01
    8.098310e-01  8.133788e-01  8.580404e-01
    8.133788e-01  8.169309e-01  8.608345e-01
    8.169309e-01  8.204950e-01  8.483466e-01
    8.204950e-01  8.241355e-01  8.365959e-01
    8.241355e-01  8.277761e-01  8.351948e-01
    8.277761e-01  8.314515e-01  8.297931e-01
    8.314515e-01  8.351816e-01  8.247958e-01
    8.351816e-01  8.389116e-01  8.146756e-01
    8.389116e-01  8.427059e-01  8.020550e-01
    8.427059e-01  8.465267e-01  7.965155e-01
    8.465267e-01  8.503557e-01  7.853767e-01
    8.503557e-01  8.542682e-01  7.739199e-01
    8.542682e-01  8.581806e-01  7.681647e-01
    8.581806e-01  8.621427e-01  7.602634e-01
    8.621427e-01  8.661480e-01  7.553781e-01
    8.661480e-01  8.701569e-01  7.439908e-01
    8.701569e-01  8.742560e-01  7.298029e-01
    8.742560e-01  8.783552e-01  7.188688e-01
    8.783552e-01  8.825112e-01  7.092503e-01
    8.825112e-01  8.867053e-01  7.043686e-01
    8.867053e-01  8.909201e-01  6.938285e-01
    8.909201e-01  8.952103e-01  6.844954e-01
    8.952103e-01  8.995005e-01  6.793805e-01
    8.995005e-01  9.038765e-01  6.760154e-01
    9.038765e-01  9.082639e-01  6.730012e-01
    9.082639e-01  9.127106e-01  6.701177e-01
    9.127106e-01  9.171962e-01  6.669560e-01
    9.171962e-01  9.217190e-01  6.560426e-01
    9.217190e-01  9.263039e-01  6.481542e-01
    9.263039e-01  9.309083e-01  6.481621e-01
    9.309083e-01  9.355936e-01  6.447052e-01
    9.355936e-01  9.402850e-01  6.332054e-01
    9.402850e-01  9.450718e-01  6.280536e-01
    9.450718e-01  9.498586e-01  6.248216e-01
    9.498586e-01  9.547450e-01  6.170073e-01
    9.547450e-01  9.596344e-01  6.051985e-01
    9.596344e-01  9.646197e-01  5.935077e-01
    9.646197e-01  9.696128e-01  5.849094e-01
    9.696128e-01  9.747025e-01  5.807445e-01
    9.747025e-01  9.798003e-01  5.767275e-01
    9.798003e-01  9.849998e-01  5.675736e-01
    9.849998e-01  9.902076e-01  5.587845e-01
    9.902076e-01  9.955182e-01  5.524689e-01
    9.955182e-01  1.000846e+00  5.464908e-01
    1.000846e+00  1.006264e+00  5.377974e-01
    1.006264e+00  1.011717e+00  5.290753e-01
    1.011717e+00  1.017244e+00  5.223922e-01
    1.017244e+00  1.022827e+00  5.220175e-01
    1.022827e+00  1.028465e+00  5.188653e-01
    1.028465e+00  1.034184e+00  5.124888e-01
    1.034184e+00  1.039933e+00  5.043990e-01
    1.039933e+00  1.045793e+00  4.971025e-01
    1.045793e+00  1.051687e+00  4.939418e-01
    1.051687e+00  1.057662e+00  4.900338e-01
    1.057662e+00  1.063706e+00  4.863760e-01
    1.063706e+00  1.069796e+00  4.806407e-01
    1.069796e+00  1.075997e+00  4.791911e-01
    1.075997e+00  1.082244e+00  4.812216e-01
    1.082244e+00  1.088565e+00  4.767640e-01
    1.088565e+00  1.094978e+00  4.683603e-01
    1.094978e+00  1.101444e+00  4.598768e-01
    1.101444e+00  1.108002e+00  4.537225e-01
    1.108002e+00  1.114644e+00  4.495154e-01
    1.114644e+00  1.121346e+00  4.462229e-01
    1.121346e+00  1.128146e+00  4.422830e-01
    1.128146e+00  1.135034e+00  4.391997e-01
    1.135034e+00  1.141990e+00  4.365593e-01
    1.141990e+00  1.149035e+00  4.327087e-01
    1.149035e+00  1.156187e+00  4.284138e-01
    1.156187e+00  1.163415e+00  4.235511e-01
    1.163415e+00  1.170722e+00  4.181371e-01
    1.170722e+00  1.178143e+00  4.138765e-01
    1.178143e+00  1.185659e+00  4.093256e-01
    1.185659e+00  1.193262e+00  4.026248e-01
    1.193262e+00  1.200955e+00  3.984703e-01
    1.200955e+00  1.208762e+00  3.942619e-01
    1.208762e+00  1.216679e+00  3.889329e-01
    1.216679e+00  1.224693e+00  3.854602e-01
    1.224693e+00  1.232808e+00  3.812205e-01
    1.232808e+00  1.241027e+00  3.763888e-01
    1.241027e+00  1.249364e+00  3.718423e-01
    1.249364e+00  1.257825e+00  3.678226e-01
    1.257825e+00  1.266398e+00  3.642858e-01
    1.266398e+00  1.275086e+00  3.598396e-01
    1.275086e+00  1.283892e+00  3.550908e-01
    1.283892e+00  1.292819e+00  3.511459e-01
    1.292819e+00  1.301871e+00  3.481821e-01
    1.301871e+00  1.311051e+00  3.422898e-01
    1.311051e+00  1.320362e+00  3.342055e-01
    1.320362e+00  1.329810e+00  3.268332e-01
    1.329810e+00  1.339399e+00  3.160863e-01
    1.339399e+00  1.349127e+00  3.037098e-01
    1.349127e+00  1.358997e+00  2.929441e-01
    1.358997e+00  1.369012e+00  2.872670e-01
    1.369012e+00  1.379176e+00  2.877712e-01
    1.379176e+00  1.389492e+00  2.896886e-01
    1.389492e+00  1.399962e+00  2.925748e-01
    1.399962e+00  1.410600e+00  2.955085e-01
    1.410600e+00  1.421401e+00  2.948737e-01
    1.421401e+00  1.432370e+00  2.913626e-01
    1.432370e+00  1.443508e+00  2.867821e-01
    1.443508e+00  1.454821e+00  2.827538e-01
    1.454821e+00  1.466310e+00  2.797221e-01
    1.466310e+00  1.477979e+00  2.761953e-01
    1.477979e+00  1.489831e+00  2.739270e-01
    1.489831e+00  1.501895e+00  2.750946e-01
    1.501895e+00  1.514154e+00  2.790410e-01
    1.514154e+00  1.526608e+00  2.821510e-01
    1.526608e+00  1.539260e+00  2.794587e-01
    1.539260e+00  1.552141e+00  2.703041e-01
    1.552141e+00  1.565239e+00  2.599976e-01
    1.565239e+00  1.578548e+00  2.513792e-01
    1.578548e+00  1.592097e+00  2.441905e-01
    1.592097e+00  1.605883e+00  2.385792e-01
    1.605883e+00  1.619892e+00  2.340665e-01
    1.619892e+00  1.634178e+00  2.298541e-01
    1.634178e+00  1.648696e+00  2.247421e-01
    1.648696e+00  1.663490e+00  2.203391e-01
    1.663490e+00  1.678540e+00  2.171840e-01
    1.678540e+00  1.693879e+00  2.134831e-01
    1.693879e+00  1.709484e+00  2.101146e-01
    1.709484e+00  1.725403e+00  2.077656e-01
    1.725403e+00  1.741604e+00  2.050642e-01
    1.741604e+00  1.758121e+00  2.010899e-01
    1.758121e+00  1.774960e+00  1.975537e-01
    1.774960e+00  1.792115e+00  1.947301e-01
    1.792115e+00  1.809604e+00  1.912568e-01
    1.809604e+00  1.827455e+00  1.860995e-01
    1.827455e+00  1.845657e+00  1.805020e-01
    1.845657e+00  1.864223e+00  1.761113e-01
    1.864223e+00  1.883166e+00  1.724476e-01
    1.883166e+00  1.902500e+00  1.682122e-01
    1.902500e+00  1.922237e+00  1.635968e-01
    1.922237e+00  1.942390e+00  1.592955e-01
    1.942390e+00  1.962972e+00  1.555386e-01
    1.962972e+00  1.983997e+00  1.525522e-01
    1.983997e+00  2.005478e+00  1.489372e-01
    2.005478e+00  2.027426e+00  1.448199e-01
    2.027426e+00  2.049856e+00  1.406500e-01
    2.049856e+00  2.072808e+00  1.361534e-01
    2.072808e+00  2.096273e+00  1.317122e-01
    2.096273e+00  2.120266e+00  1.279574e-01
    2.120266e+00  2.144836e+00  1.245854e-01
    2.144836e+00  2.169962e+00  1.207715e-01
    2.169962e+00  2.195708e+00  1.164887e-01
    2.195708e+00  2.222059e+00  1.122920e-01
    2.222059e+00  2.249053e+00  1.076550e-01
    2.249053e+00  2.276721e+00  1.027399e-01
    2.276721e+00  2.305076e+00  9.789352e-02
    2.305076e+00  2.334146e+00  9.323335e-02
    2.334146e+00  2.363960e+00  8.893697e-02
    2.363960e+00  2.394549e+00  8.451010e-02
    2.394549e+00  2.425941e+00  8.003366e-02
    2.425941e+00  2.458166e+00  7.467623e-02
    2.458166e+00  2.491263e+00  6.940823e-02
    2.491263e+00  2.525272e+00  6.578460e-02
    2.525272e+00  2.560211e+00  6.263177e-02
    2.560211e+00  2.596150e+00  5.900339e-02
    2.596150e+00  2.633105e+00  5.545855e-02
    2.633105e+00  2.671126e+00  5.228682e-02
    2.671126e+00  2.710266e+00  4.896282e-02
    2.710266e+00  2.750576e+00  4.527746e-02
    2.750576e+00  2.792109e+00  4.180909e-02
    2.792109e+00  2.834917e+00  3.873815e-02
    2.834917e+00  2.879052e+00  3.577058e-02
    2.879052e+00  2.924597e+00  3.281377e-02
    2.924597e+00  2.971600e+00  2.959452e-02
    2.971600e+00  3.020142e+00  2.673653e-02
    3.020142e+00  3.070304e+00  2.424643e-02
    3.070304e+00  3.122167e+00  2.209517e-02
    3.122167e+00  3.175813e+00  2.036718e-02
    3.175813e+00  3.231333e+00  1.823097e-02
    3.231333e+00  3.288835e+00  1.621594e-02
    3.288835e+00  3.348426e+00  1.460578e-02
    3.348426e+00  3.410217e+00  1.292643e-02
    3.410217e+00  3.474344e+00  1.138407e-02
    3.474344e+00  3.540922e+00  1.019778e-02
    3.540922e+00  3.610109e+00  9.106944e-03
