$ Deuteron energy spectrum for PHITS source
$ Converted from: spectrum_mean.csv
$ Energy range: 0.4598 - 7.9798 MeV
$ Number of bins: 383
$
$ Format: e-type=22 (user-defined histogram)
$ ne = number of bins
$ followed by: E_low  E_high  relative_intensity
$
    ne = 383
    6.543545e-01  6.566388e-01  1.286146e+00
    6.566388e-01  6.589232e-01  1.275639e+00
    6.589232e-01  6.612450e-01  1.258320e+00
    6.612450e-01  6.636004e-01  1.250013e+00
    6.636004e-01  6.659558e-01  1.249835e+00
    6.659558e-01  6.683112e-01  1.250033e+00
    6.683112e-01  6.706871e-01  1.233897e+00
    6.706871e-01  6.731147e-01  1.217743e+00
    6.731147e-01  6.755422e-01  1.216670e+00
    6.755422e-01  6.779698e-01  1.216312e+00
    6.779698e-01  6.804094e-01  1.197533e+00
    6.804094e-01  6.829102e-01  1.177641e+00
    6.829102e-01  6.854111e-01  1.180752e+00
    6.854111e-01  6.879119e-01  1.190767e+00
    6.879119e-01  6.904250e-01  1.185047e+00
    6.904250e-01  6.930002e-01  1.177480e+00
    6.930002e-01  6.955754e-01  1.191764e+00
    6.955754e-01  6.981506e-01  1.208084e+00
    6.981506e-01  7.007470e-01  1.212275e+00
    7.007470e-01  7.033977e-01  1.216779e+00
    7.033977e-01  7.060483e-01  1.224715e+00
    7.060483e-01  7.086989e-01  1.212876e+00
    7.086989e-01  7.113885e-01  1.175828e+00
    7.113885e-01  7.141157e-01  1.135882e+00
    7.141157e-01  7.168428e-01  1.116772e+00
    7.168428e-01  7.195700e-01  1.102497e+00
    7.195700e-01  7.223625e-01  1.088277e+00
    7.223625e-01  7.251672e-01  1.083205e+00
    7.251672e-01  7.279720e-01  1.077933e+00
    7.279720e-01  7.307985e-01  1.065487e+00
    7.307985e-01  7.336820e-01  1.052896e+00
    7.336820e-01  7.365654e-01  1.053460e+00
    7.365654e-01  7.394489e-01  1.045926e+00
    7.394489e-01  7.423968e-01  1.030138e+00
    7.423968e-01  7.453601e-01  1.021802e+00
    7.453601e-01  7.483233e-01  1.013349e+00
    7.483233e-01  7.513216e-01  1.002617e+00
    7.513216e-01  7.543657e-01  9.964785e-01
    7.543657e-01  7.574098e-01  9.950506e-01
    7.574098e-01  7.604661e-01  9.841040e-01
    7.604661e-01  7.635922e-01  9.768441e-01
    7.635922e-01  7.667182e-01  9.760930e-01
    7.667182e-01  7.698442e-01  9.567775e-01
    7.698442e-01  7.730492e-01  9.425045e-01
    7.730492e-01  7.762583e-01  9.426818e-01
    7.762583e-01  7.794673e-01  9.320184e-01
    7.794673e-01  7.827466e-01  9.189858e-01
    7.827466e-01  7.860398e-01  9.183573e-01
    7.860398e-01  7.893330e-01  9.085798e-01
    7.893330e-01  7.926941e-01  8.905205e-01
    7.926941e-01  7.960725e-01  8.860934e-01
    7.960725e-01  7.994509e-01  8.751618e-01
    7.994509e-01  8.029016e-01  8.606244e-01
    8.029016e-01  8.063663e-01  8.559575e-01
    8.063663e-01  8.098310e-01  8.431851e-01
    8.098310e-01  8.133788e-01  8.332506e-01
    8.133788e-01  8.169309e-01  8.331800e-01
    8.169309e-01  8.204950e-01  8.194837e-01
    8.204950e-01  8.241355e-01  8.067366e-01
    8.241355e-01  8.277761e-01  8.044515e-01
    8.277761e-01  8.314515e-01  7.988317e-01
    8.314515e-01  8.351816e-01  7.932188e-01
    8.351816e-01  8.389116e-01  7.824950e-01
    8.389116e-01  8.427059e-01  7.694068e-01
    8.427059e-01  8.465267e-01  7.620577e-01
    8.465267e-01  8.503557e-01  7.502723e-01
    8.503557e-01  8.542682e-01  7.396454e-01
    8.542682e-01  8.581806e-01  7.343192e-01
    8.581806e-01  8.621427e-01  7.269541e-01
    8.621427e-01  8.661480e-01  7.221198e-01
    8.661480e-01  8.701569e-01  7.109592e-01
    8.701569e-01  8.742560e-01  6.981314e-01
    8.742560e-01  8.783552e-01  6.892956e-01
    8.783552e-01  8.825112e-01  6.817490e-01
    8.825112e-01  8.867053e-01  6.784479e-01
    8.867053e-01  8.909201e-01  6.688650e-01
    8.909201e-01  8.952103e-01  6.598694e-01
    8.952103e-01  8.995005e-01  6.556214e-01
    8.995005e-01  9.038765e-01  6.523181e-01
    9.038765e-01  9.082639e-01  6.481704e-01
    9.082639e-01  9.127106e-01  6.430494e-01
    9.127106e-01  9.171962e-01  6.382149e-01
    9.171962e-01  9.217190e-01  6.290353e-01
    9.217190e-01  9.263039e-01  6.232855e-01
    9.263039e-01  9.309083e-01  6.246235e-01
    9.309083e-01  9.355936e-01  6.203746e-01
    9.355936e-01  9.402850e-01  6.083574e-01
    9.402850e-01  9.450718e-01  6.042269e-01
    9.450718e-01  9.498586e-01  6.017074e-01
    9.498586e-01  9.547450e-01  5.951634e-01
    9.547450e-01  9.596344e-01  5.844962e-01
    9.596344e-01  9.646197e-01  5.728736e-01
    9.646197e-01  9.696128e-01  5.644303e-01
    9.696128e-01  9.747025e-01  5.612050e-01
    9.747025e-01  9.798003e-01  5.568956e-01
    9.798003e-01  9.849998e-01  5.471953e-01
    9.849998e-01  9.902076e-01  5.370890e-01
    9.902076e-01  9.955182e-01  5.286229e-01
    9.955182e-01  1.000846e+00  5.240606e-01
    1.000846e+00  1.006264e+00  5.194108e-01
    1.006264e+00  1.011717e+00  5.127188e-01
    1.011717e+00  1.017244e+00  5.058497e-01
    1.017244e+00  1.022827e+00  5.036552e-01
    1.022827e+00  1.028465e+00  4.984581e-01
    1.028465e+00  1.034184e+00  4.925960e-01
    1.034184e+00  1.039933e+00  4.874416e-01
    1.039933e+00  1.045793e+00  4.817149e-01
    1.045793e+00  1.051687e+00  4.779155e-01
    1.051687e+00  1.057662e+00  4.728708e-01
    1.057662e+00  1.063706e+00  4.675409e-01
    1.063706e+00  1.069796e+00  4.610081e-01
    1.069796e+00  1.075997e+00  4.593574e-01
    1.075997e+00  1.082244e+00  4.607235e-01
    1.082244e+00  1.088565e+00  4.569907e-01
    1.088565e+00  1.094978e+00  4.509655e-01
    1.094978e+00  1.101444e+00  4.436660e-01
    1.101444e+00  1.108002e+00  4.372398e-01
    1.108002e+00  1.114644e+00  4.326237e-01
    1.114644e+00  1.121346e+00  4.290961e-01
    1.121346e+00  1.128146e+00  4.253402e-01
    1.128146e+00  1.135034e+00  4.226059e-01
    1.135034e+00  1.141990e+00  4.207484e-01
    1.141990e+00  1.149035e+00  4.173868e-01
    1.149035e+00  1.156187e+00  4.133245e-01
    1.156187e+00  1.163415e+00  4.093430e-01
    1.163415e+00  1.170722e+00  4.043885e-01
    1.170722e+00  1.178143e+00  3.994894e-01
    1.178143e+00  1.185659e+00  3.940387e-01
    1.185659e+00  1.193262e+00  3.869546e-01
    1.193262e+00  1.200955e+00  3.825968e-01
    1.200955e+00  1.208762e+00  3.779226e-01
    1.208762e+00  1.216679e+00  3.720264e-01
    1.216679e+00  1.224693e+00  3.677509e-01
    1.224693e+00  1.232808e+00  3.628206e-01
    1.232808e+00  1.241027e+00  3.582315e-01
    1.241027e+00  1.249364e+00  3.546722e-01
    1.249364e+00  1.257825e+00  3.504119e-01
    1.257825e+00  1.266398e+00  3.457380e-01
    1.266398e+00  1.275086e+00  3.413696e-01
    1.275086e+00  1.283892e+00  3.370475e-01
    1.283892e+00  1.292819e+00  3.325520e-01
    1.292819e+00  1.301871e+00  3.286614e-01
    1.301871e+00  1.311051e+00  3.228904e-01
    1.311051e+00  1.320362e+00  3.152121e-01
    1.320362e+00  1.329810e+00  3.070531e-01
    1.329810e+00  1.339399e+00  2.958923e-01
    1.339399e+00  1.349127e+00  2.836568e-01
    1.349127e+00  1.358997e+00  2.731065e-01
    1.358997e+00  1.369012e+00  2.679609e-01
    1.369012e+00  1.379176e+00  2.684668e-01
    1.379176e+00  1.389492e+00  2.703754e-01
    1.389492e+00  1.399962e+00  2.732816e-01
    1.399962e+00  1.410600e+00  2.759575e-01
    1.410600e+00  1.421401e+00  2.756279e-01
    1.421401e+00  1.432370e+00  2.729316e-01
    1.432370e+00  1.443508e+00  2.686177e-01
    1.443508e+00  1.454821e+00  2.643652e-01
